cluster_id,source_id,source,source_date,latitude,longitude,country
108534,984606,sam-2024-Q1,2024-03-06,34.415076140983246,70.40335246063559,Afghanistan
108534,1304540,sam-2024-Q4,2025-01-13,34.41508477380528,70.40343082792592,Afghanistan
109263,52203,gpv-model,2019-01-01,34.65638320567465,69.11513668969518,Afghanistan
13839,1304539,sam-2024-Q4,2025-01-13,34.61456442175078,69.71773894020022,Afghanistan
13839,1420220,sam-2025-Q1,2025-03-28,34.61456783704264,69.71771360619073,Afghanistan
13839,1210822,sam-2024-Q3,2024-10-17,34.61459786683064,69.71764597228089,Afghanistan
13839,1453851,sam-2025-Q2,2025-06-26,34.61155179981907,69.71573030660788,Afghanistan
16468,41,gpv-model,2019-01-01,32.921717996962585,65.43690404022688,Afghanistan
17271,1302815,sam-2024-Q4,2025-01-13,34.182850813568095,62.21652361658735,Afghanistan
17271,1399801,sam-2025-Q1,2025-03-28,34.18288381307915,62.21650201714109,Afghanistan
17271,979144,sam-2024-Q1,2024-03-06,34.18288458733664,62.216491854767895,Afghanistan
17271,52144,gpv-model,2019-01-01,34.18289364249949,62.21648546449388,Afghanistan
17271,1200500,sam-2024-Q2,2024-08-13,34.18291693007443,62.21649528658703,Afghanistan
25376,388262,sam-2023,2023-10-01,31.46406348797652,65.87848195179991,Afghanistan
25376,1452631,sam-2025-Q2,2025-06-26,31.46395875949049,65.87840078941916,Afghanistan
25376,978966,sam-2024-Q1,2024-03-06,31.464017812049097,65.87854033584198,Afghanistan
25376,1419832,sam-2025-Q1,2025-03-28,31.4639732001665,65.87847895648787,Afghanistan
25376,1257566,sam-2024-Q3,2024-10-17,31.46403620606222,65.87840733629602,Afghanistan
25376,1200501,sam-2024-Q2,2024-08-13,31.464053966343982,65.87844279699739,Afghanistan
25376,1302787,sam-2024-Q4,2025-01-13,31.464043312283795,65.87856117537254,Afghanistan
55388,978998,sam-2024-Q1,2024-03-06,31.62652459936267,65.85422034082954,Afghanistan
55388,388264,sam-2023,2023-10-01,31.62654800762493,65.85428293296978,Afghanistan
55388,1268985,sam-2024-Q3,2024-10-17,31.62648953695916,65.85417834353413,Afghanistan
55388,1302788,sam-2024-Q4,2025-01-13,31.6265302999706,65.85423065456409,Afghanistan
55388,1452632,sam-2025-Q2,2025-06-26,31.62659167346605,65.85421719888834,Afghanistan
55388,1200502,sam-2024-Q2,2024-08-13,31.626497031222875,65.85421017280622,Afghanistan
55388,1419833,sam-2025-Q1,2025-03-28,31.62649800256533,65.85421958943674,Afghanistan
59497,40,gpv-model,2019-01-01,31.62473083793272,61.75710175411458,Afghanistan
68926,981403,sam-2024-Q1,2024-03-06,34.83069489522339,67.77783502925675,Afghanistan
71351,88,gpv-model,2019-01-01,34.377707938312035,66.06177508779066,Afghanistan
