cluster_id,source_id,source,source_date,latitude,longitude,country
105850,1355655,sam-2025-Q1,2025-03-28,-18.40137359493064,21.839228571392887,Botswana
105850,1289377,sam-2024-Q4,2025-01-13,-18.40143579925434,21.8391700550894,Botswana
106359,1289256,sam-2024-Q4,2025-01-13,-23.589212353876142,26.77965146261598,Botswana
20499,1289254,sam-2024-Q4,2025-01-13,-24.573766242201724,25.96862251113616,Botswana
20499,922553,sam-2024-Q1,2024-03-06,-24.57381617220622,25.96867850195821,Botswana
20499,1197033,sam-2024-Q2,2024-08-13,-24.5737894280346,25.96869747151219,Botswana
20499,299607,sam-2023,2023-10-01,-24.57371693631947,25.96868232403896,Botswana
20499,1376099,sam-2025-Q1,2025-03-28,-24.573718269332108,25.968656974489463,Botswana
20499,1259821,sam-2024-Q3,2024-10-17,-24.573792687152,25.96872893509526,Botswana
20499,52192,gpv-model,2019-01-01,-24.57382948901824,25.968798080468783,Botswana
36468,1396341,sam-2025-Q1,2025-03-28,-24.585784562375768,25.91477963868777,Botswana
41397,1231443,sam-2024-Q3,2024-10-17,-20.498039745036763,25.18798352917762,Botswana
45662,1443201,sam-2025-Q2,2025-06-26,-24.5941898573244,25.94348658181912,Botswana
45662,1355626,sam-2025-Q1,2025-03-28,-24.59425207100004,25.943471243293544,Botswana
55348,920375,sam-2024-Q1,2024-03-06,-21.678595393046034,25.83729342942609,Botswana
55348,175,gpv-model,2019-01-01,-21.678607031295567,25.837202979110707,Botswana
55348,297223,sam-2023,2023-10-01,-21.678544465941595,25.837281890168764,Botswana
59934,1443258,sam-2025-Q2,2025-06-26,-22.03539670749703,28.475319556394613,Botswana
59934,1258130,sam-2024-Q3,2024-10-17,-22.03530372457056,28.475202969984,Botswana
59934,1355659,sam-2025-Q1,2025-03-28,-22.035411015865765,28.475273438226907,Botswana
59934,927126,sam-2024-Q1,2024-03-06,-22.03536104999145,28.475202176579,Botswana
59934,307304,sam-2023,2023-10-01,-22.035243355570312,28.475271348683,Botswana
71932,1443257,sam-2025-Q2,2025-06-26,-21.94001259964425,27.815491891798253,Botswana
71932,1355658,sam-2025-Q1,2025-03-28,-21.940166075148547,27.815489993200693,Botswana
71932,1289498,sam-2024-Q4,2025-01-13,-21.939167190010583,27.815582112985552,Botswana
