cluster_id,source_id,source,source_date,latitude,longitude,country
101847,1354612,sam-2025-Q1,2025-03-28,12.490891831679358,-1.1050492333704345,Burkina Faso
101847,1286041,sam-2024-Q4,2025-01-13,12.490837429772156,-1.105018998438468,Burkina Faso
101847,850287,sam-2024-Q1,2024-03-06,12.490840616211049,-1.1050194203228736,Burkina Faso
104062,1484123,sam-2025-Q3,2025-09-29,14.015938579009942,0.0045130449069566,Burkina Faso
21934,1286034,sam-2024-Q4,2025-01-13,11.532687412941783,-3.2541048340315992,Burkina Faso
21934,846202,sam-2024-Q1,2024-03-06,11.5327014522664,-3.2540723964387888,Burkina Faso
21934,1375081,sam-2025-Q1,2025-03-28,11.53275791565486,-3.25416273008052,Burkina Faso
21934,1255915,sam-2024-Q3,2024-10-17,11.532778438995182,-3.2541895127728235,Burkina Faso
21934,208345,sam-2023,2023-10-01,11.533265255701256,-3.2543283369229403,Burkina Faso
23162,850285,sam-2024-Q1,2024-03-06,12.306536885645626,-1.6359546716413378,Burkina Faso
23162,1232746,sam-2024-Q3,2024-10-17,12.306668820618675,-1.6353980897625775,Burkina Faso
23162,62978,gpv-model,2019-01-01,12.30649383006877,-1.6361225075971908,Burkina Faso
23162,210807,sam-2023,2023-10-01,12.306532340083416,-1.6357529803633932,Burkina Faso
23162,1286036,sam-2024-Q4,2025-01-13,12.306557629636233,-1.6357836629923497,Burkina Faso
23162,1395323,sam-2025-Q1,2025-03-28,12.306558561516775,-1.6360211817173815,Burkina Faso
51627,1395322,sam-2025-Q1,2025-03-28,12.036953728839055,-3.418632918911405,Burkina Faso
51627,846208,sam-2024-Q1,2024-03-06,12.038018304067393,-3.417254224480576,Burkina Faso
51627,1286035,sam-2024-Q4,2025-01-13,12.03701362475732,-3.4185819151048897,Burkina Faso
66585,52241,gpv-model,2019-01-01,14.364702782991303,0.0777028350930942,Burkina Faso
66585,52238,gpv-model,2019-01-01,14.36447415227742,0.0794620599072925,Burkina Faso
66585,1346067,sam-2024-Q4,2025-01-13,14.3639732292079,0.077603707486924,Burkina Faso
66585,854118,sam-2024-Q1,2024-03-06,14.362962887718568,0.0777907167435744,Burkina Faso
68159,1395315,sam-2025-Q1,2025-03-28,11.111957424012214,-4.357303280613837,Burkina Faso
68159,205903,sam-2023,2023-10-01,11.112351075052914,-4.357669695898454,Burkina Faso
68159,1440562,sam-2025-Q2,2025-06-26,11.111985535008492,-4.357290965135296,Burkina Faso
68159,844030,sam-2024-Q1,2024-03-06,11.112161392863271,-4.357416637197201,Burkina Faso
68159,1285903,sam-2024-Q4,2025-01-13,11.111946058184303,-4.357287939840818,Burkina Faso
80178,1233737,sam-2024-Q3,2024-10-17,12.450993288880568,-1.2434664452063748,Burkina Faso
80178,1286039,sam-2024-Q4,2025-01-13,12.45098136265032,-1.2433960492827514,Burkina Faso
80178,1440580,sam-2025-Q2,2025-06-26,12.451018895804108,-1.2434518403812531,Burkina Faso
80178,850286,sam-2024-Q1,2024-03-06,12.450951745814445,-1.2434089864661306,Burkina Faso
80178,213144,sam-2023,2023-10-01,12.450932977157713,-1.2437269450172128,Burkina Faso
86935,1375082,sam-2025-Q1,2025-03-28,12.435725175848686,-1.7241877338656528,Burkina Faso
86935,1286037,sam-2024-Q4,2025-01-13,12.435776970127018,-1.724145562108487,Burkina Faso
86935,1247445,sam-2024-Q3,2024-10-17,12.435809522210512,-1.724194647173812,Burkina Faso
86935,848213,sam-2024-Q1,2024-03-06,12.4357273430787,-1.7242737285767074,Burkina Faso
93476,1440579,sam-2025-Q2,2025-06-26,11.70302299334851,-0.3675828639583841,Burkina Faso
93476,1375083,sam-2025-Q1,2025-03-28,11.702898902666444,-0.3676166116743459,Burkina Faso
93476,1247170,sam-2024-Q3,2024-10-17,11.702750275819808,-0.3676379532305292,Burkina Faso
93476,852293,sam-2024-Q1,2024-03-06,11.7029880379983,-0.367596282571786,Burkina Faso
93476,215445,sam-2023,2023-10-01,11.701851842139614,-0.3657502455349052,Burkina Faso
96037,1286040,sam-2024-Q4,2025-01-13,12.491294866183807,-1.1191372052244597,Burkina Faso
96037,1395324,sam-2025-Q1,2025-03-28,12.491325762589597,-1.1192123383191337,Burkina Faso
