cluster_id,source_id,source,source_date,latitude,longitude,country
100533,888320,sam-2024-Q1,2024-03-06,50.2441958492649,12.962470466357397,Czechia
100533,254251,sam-2023,2023-10-01,50.24430972969947,12.962443114843865,Czechia
101100,897998,sam-2024-Q1,2024-03-06,49.50988609798137,16.621832458022187,Czechia
101193,1228232,sam-2024-Q3,2024-10-17,50.341466474250254,13.818493714380184,Czechia
101193,1401905,sam-2025-Q1,2025-03-28,50.34150412978544,13.818688234019646,Czechia
100793,1421945,sam-2025-Q1,2025-03-28,49.13922673572353,16.638189750431348,Czechia
101611,546,gpv-model,2019-01-01,49.39672105142232,17.226030935458503,Czechia
101611,900026,sam-2024-Q1,2024-03-06,49.39663506465932,17.22597307242443,Czechia
101818,1220663,sam-2024-Q3,2024-10-17,49.49448489710726,13.210067147888138,Czechia
101818,889854,sam-2024-Q1,2024-03-06,49.494520258225855,13.20989026797154,Czechia
101818,54288,gpv-model,2019-01-01,49.49509072802812,13.21049360322382,Czechia
101818,1309246,sam-2024-Q4,2025-01-13,49.49447873297102,13.209962863018228,Czechia
102394,896202,sam-2024-Q1,2024-03-06,49.95938797986827,15.780359199134931,Czechia
102415,886647,sam-2024-Q1,2024-03-06,49.96279744346835,12.6608822981253,Czechia
101712,896120,sam-2024-Q1,2024-03-06,49.27450492353292,16.270087015639447,Czechia
101712,1381684,sam-2025-Q1,2025-03-28,49.27454143645187,16.270143349514743,Czechia
101712,1214137,sam-2024-Q3,2024-10-17,49.27446803443602,16.270191055852614,Czechia
101712,805,gpv-model,2019-01-01,49.274873297671256,16.27032300039839,Czechia
101733,54402,gpv-model,2019-01-01,50.43109999490076,15.838982033500905,Czechia
103123,1422250,sam-2025-Q1,2025-03-28,49.75964499262288,18.2646994332986,Czechia
103123,1457514,sam-2025-Q2,2025-06-26,49.759882167651945,18.264712566766693,Czechia
10329,1401963,sam-2025-Q1,2025-03-28,49.174477369466096,16.805609973052746,Czechia
10329,1309382,sam-2024-Q4,2025-01-13,49.1743462022304,16.80555943385237,Czechia
10329,897924,sam-2024-Q1,2024-03-06,49.17414591293866,16.805814741240418,Czechia
10329,54572,gpv-model,2019-01-01,49.174168017309285,16.8057846240257,Czechia
10329,1234904,sam-2024-Q3,2024-10-17,49.17429310972378,16.805487831555325,Czechia
10329,268611,sam-2023,2023-10-01,49.17448454296585,16.805639533073677,Czechia
103879,68391,gpv-model,2019-01-01,49.0571491993256,17.456177447002865,Czechia
104177,1402239,sam-2025-Q1,2025-03-28,49.2085237125541,17.61421595711855,Czechia
104177,270836,sam-2023,2023-10-01,49.20839638953432,17.614337812244905,Czechia
104177,617,gpv-model,2019-01-01,49.20847152208327,17.61419045519915,Czechia
104177,899991,sam-2024-Q1,2024-03-06,49.20846757613906,17.61417809908608,Czechia
