cluster_id,source_id,source,source_date,latitude,longitude,country
100614,55515,gpv-model,2019-01-01,29.989703859149422,31.439696301131995,Egypt
102025,940131,sam-2024-Q1,2024-03-06,27.983875960790225,34.41432365137533,Egypt
102025,1377502,sam-2025-Q1,2025-03-28,27.984225840782347,34.41418395569316,Egypt
102476,1446680,sam-2025-Q2,2025-06-26,30.338867209401545,30.629143767239235,Egypt
106958,1484314,sam-2025-Q3,2025-09-29,25.889276297282382,32.27585414416436,Egypt
107660,1397740,sam-2025-Q1,2025-03-28,30.277946022371207,30.08403579824072,Egypt
108484,938167,sam-2024-Q1,2024-03-06,29.78461317140055,34.00586642744163,Egypt
109128,1446679,sam-2025-Q2,2025-06-26,30.36252301024321,30.549575859284783,Egypt
110301,1228749,sam-2024-Q3,2024-10-17,30.49111033113252,32.425080618011755,Egypt
110681,55519,gpv-model,2019-01-01,30.15075702086142,30.82730954381889,Egypt
110896,1295565,sam-2024-Q4,2025-01-13,29.95645477876643,33.45614099558439,Egypt
110896,1484319,sam-2025-Q3,2025-09-29,29.95697652286864,33.456113256578355,Egypt
11164,1255056,sam-2024-Q3,2024-10-17,25.292781678877983,29.24566394669497,Egypt
11164,1295506,sam-2024-Q4,2025-01-13,25.292746661958017,29.245664228586325,Egypt
11164,929734,sam-2024-Q1,2024-03-06,25.292779694116444,29.245719614912336,Egypt
11164,310636,sam-2023,2023-10-01,25.29280270538957,29.24570934808066,Egypt
11164,1397737,sam-2025-Q1,2025-03-28,25.2927545118362,29.24568564874893,Egypt
11378,312966,sam-2023,2023-10-01,27.92275405271607,30.366435271172914,Egypt
11378,312967,sam-2023,2023-10-01,27.930552241334688,30.36241525512252,Egypt
11378,931511,sam-2024-Q1,2024-03-06,27.92677993327333,30.36432752862037,Egypt
12351,319697,sam-2023,2023-10-01,23.30434158010229,32.72957894351893,Egypt
12351,1417852,sam-2025-Q1,2025-03-28,23.30427177287464,32.72948714393396,Egypt
12351,1295510,sam-2024-Q4,2025-01-13,23.3042392189457,32.72947627584837,Egypt
12351,1252066,sam-2024-Q3,2024-10-17,23.30431952274555,32.72956126950242,Egypt
12351,935396,sam-2024-Q1,2024-03-06,23.304302520949367,32.72949023193546,Egypt
13684,1263098,sam-2024-Q3,2024-10-17,27.05750588564734,28.1996196686539,Egypt
13684,927460,sam-2024-Q1,2024-03-06,27.05756450232301,28.19965992294356,Egypt
13684,308123,sam-2023,2023-10-01,27.057594410622663,28.19924090623324,Egypt
13684,1295515,sam-2024-Q4,2025-01-13,27.05746077483484,28.199592650004075,Egypt
13684,1484313,sam-2025-Q3,2025-09-29,27.0574649285345,28.199630538120545,Egypt
13684,1446668,sam-2025-Q2,2025-06-26,27.05742971350088,28.199123572598577,Egypt
13684,10951,gpv-model,2019-01-01,27.05760091222404,28.19961986190054,Egypt
18607,312983,sam-2023,2023-10-01,27.96427270170895,30.40445496291918,Egypt
18607,931525,sam-2024-Q1,2024-03-06,27.964289897425967,30.404368605206688,Egypt
18607,1357091,sam-2025-Q1,2025-03-28,27.964235625633776,30.40434615121351,Egypt
20043,929773,sam-2024-Q1,2024-03-06,30.182617848789658,30.192709557288754,Egypt
20043,1357093,sam-2025-Q1,2025-03-28,30.182589752107248,30.19284472117122,Egypt
20043,313047,sam-2023,2023-10-01,30.182620733924995,30.192740020399867,Egypt
20043,1295472,sam-2024-Q4,2025-01-13,30.18263851428668,30.192692269428825,Egypt
20043,1446672,sam-2025-Q2,2025-06-26,30.18260700452746,30.19285115279966,Egypt
20043,1259533,sam-2024-Q3,2024-10-17,30.18263320643136,30.192749815859223,Egypt
22513,1295517,sam-2024-Q4,2025-01-13,27.416284334511044,33.620669066582444,Egypt
22513,1251946,sam-2024-Q3,2024-10-17,27.41625699183325,33.620643762003354,Egypt
22513,322504,sam-2023,2023-10-01,27.416268601806514,33.62071107681293,Egypt
22513,1446670,sam-2025-Q2,2025-06-26,27.415387793694222,33.621421519316634,Egypt
22513,938148,sam-2024-Q1,2024-03-06,27.416293419097936,33.62060450109067,Egypt
22513,1417854,sam-2025-Q1,2025-03-28,27.415408163940963,33.62138581237479,Egypt
26304,55539,gpv-model,2019-01-01,31.4496286242046,31.477928872195,Egypt
26304,1346413,sam-2024-Q4,2025-01-13,31.449694037776155,31.47789888065668,Egypt
26304,933546,sam-2024-Q1,2024-03-06,31.44970839632905,31.47792815382243,Egypt
26304,1397741,sam-2025-Q1,2025-03-28,31.44967319215261,31.477877122830908,Egypt
26304,1240351,sam-2024-Q3,2024-10-17,31.4496529131812,31.477803446508904,Egypt
28335,933404,sam-2024-Q1,2024-03-06,29.79449440736676,32.14586997658736,Egypt
28335,1346412,sam-2024-Q4,2025-01-13,29.794557827071777,32.14611469627281,Egypt
28335,1417860,sam-2025-Q1,2025-03-28,29.794503502504224,32.14588502950798,Egypt
28335,319779,sam-2023,2023-10-01,29.79451841656795,32.1458459154532,Egypt
28898,1446681,sam-2025-Q2,2025-06-26,30.48973323487651,30.59923847554445,Egypt
28868,30051,gpv-model,2019-01-01,29.17822732231949,25.511875992842064,Egypt
28868,1218096,sam-2024-Q3,2024-10-17,29.178974766086142,25.514003111782618,Egypt
28868,1295523,sam-2024-Q4,2025-01-13,29.178341484557706,25.5152795070829,Egypt
28868,297641,sam-2023,2023-10-01,29.17836542678809,25.51635571493203,Egypt
28868,920597,sam-2024-Q1,2024-03-06,29.17840445843762,25.51542820889017,Egypt
28868,30046,gpv-model,2019-01-01,29.178595988810965,25.51563673257927,Egypt
28868,30049,gpv-model,2019-01-01,29.17778503333676,25.51428391529831,Egypt
28868,30063,gpv-model,2019-01-01,29.1775274157019,25.51581158692592,Egypt
31699,1261986,sam-2024-Q3,2024-10-17,27.91276010014764,30.555389823255155,Egypt
31699,1295518,sam-2024-Q4,2025-01-13,27.91274553327716,30.55532700797088,Egypt
