cluster_id,source_id,source,source_date,latitude,longitude,country
108592,42969,gpv-model,2019-01-01,16.321433369117532,-61.31228100974317,Guadeloupe
110669,43394,gpv-model,2019-01-01,16.36073426569393,-61.41793655476172,Guadeloupe
13944,172863,sam-2023,2023-10-01,16.364036695263827,-61.4104525036544,Guadeloupe
13944,1240104,sam-2024-Q3,2024-10-17,16.36408590733794,-61.410426294386525,Guadeloupe
13944,11793,gpv-model,2019-01-01,16.364498295931142,-61.41004230018931,Guadeloupe
13944,1279962,sam-2024-Q4,2025-01-13,16.36414375255091,-61.410441402329376,Guadeloupe
13944,1373713,sam-2025-Q1,2025-03-28,16.364142890098904,-61.410344199265865,Guadeloupe
13944,805900,sam-2024-Q1,2024-03-06,16.364098185650086,-61.41044978834294,Guadeloupe
22856,1393926,sam-2025-Q1,2025-03-28,16.367993105973603,-61.47326511860941,Guadeloupe
22856,1189416,sam-2024-Q2,2024-08-13,16.368382675928054,-61.473175137803416,Guadeloupe
22856,1279960,sam-2024-Q4,2025-01-13,16.368056081889936,-61.47327491041847,Guadeloupe
22856,1247405,sam-2024-Q3,2024-10-17,16.36802175303587,-61.47320078845813,Guadeloupe
22856,11892,gpv-model,2019-01-01,16.368145633014844,-61.473249089037736,Guadeloupe
22856,805901,sam-2024-Q1,2024-03-06,16.36801995098572,-61.47327844236305,Guadeloupe
22856,172865,sam-2023,2023-10-01,16.368100583263235,-61.47306830420115,Guadeloupe
24822,62270,gpv-model,2019-01-01,16.2839042282508,-61.258038261372114,Guadeloupe
24822,1373711,sam-2025-Q1,2025-03-28,16.28411840339035,-61.25796808404866,Guadeloupe
24822,1249173,sam-2024-Q3,2024-10-17,16.283986666093373,-61.2578861262806,Guadeloupe
25691,1220004,sam-2024-Q3,2024-10-17,16.425654448414903,-61.4047508993136,Guadeloupe
25691,42857,gpv-model,2019-01-01,16.425908124947608,-61.404625937827205,Guadeloupe
25691,1189417,sam-2024-Q2,2024-08-13,16.425732817939615,-61.40451934187632,Guadeloupe
25691,805904,sam-2024-Q1,2024-03-06,16.42585196584168,-61.40459404965774,Guadeloupe
25691,1279963,sam-2024-Q4,2025-01-13,16.42584802550912,-61.40460254231371,Guadeloupe
31674,11750,gpv-model,2019-01-01,16.358331385947437,-61.41372741903343,Guadeloupe
31674,805899,sam-2024-Q1,2024-03-06,16.358188340540696,-61.413990645491225,Guadeloupe
31674,1279961,sam-2024-Q4,2025-01-13,16.358273466349605,-61.41375712025373,Guadeloupe
39598,172852,sam-2023,2023-10-01,16.263891490215222,-61.23277374318435,Guadeloupe
39598,172853,sam-2023,2023-10-01,16.264761604006964,-61.2366570146868,Guadeloupe
39598,1393924,sam-2025-Q1,2025-03-28,16.264702980504545,-61.23656640686063,Guadeloupe
39598,1393925,sam-2025-Q1,2025-03-28,16.26385884418638,-61.23288945113202,Guadeloupe
39598,1228555,sam-2024-Q3,2024-10-17,16.26469676488207,-61.23657672094783,Guadeloupe
39598,1265098,sam-2024-Q3,2024-10-17,16.2637548154318,-61.232832807192814,Guadeloupe
39598,808576,sam-2024-Q1,2024-03-06,16.264678386809834,-61.23661840130437,Guadeloupe
39598,1279958,sam-2024-Q4,2025-01-13,16.264746126492735,-61.23659581832273,Guadeloupe
39598,1279959,sam-2024-Q4,2025-01-13,16.26379529775174,-61.2328803600575,Guadeloupe
39598,808575,sam-2024-Q1,2024-03-06,16.263895958872894,-61.23287393026024,Guadeloupe
492,172856,sam-2023,2023-10-01,16.28971006752576,-61.27142486290532,Guadeloupe
492,808579,sam-2024-Q1,2024-03-06,16.28968243383476,-61.2714424039939,Guadeloupe
492,1279957,sam-2024-Q4,2025-01-13,16.289649622747763,-61.27145241862068,Guadeloupe
492,1262923,sam-2024-Q3,2024-10-17,16.289650011930465,-61.27140070413849,Guadeloupe
492,11767,gpv-model,2019-01-01,16.289653856555258,-61.271397132694766,Guadeloupe
492,1189419,sam-2024-Q2,2024-08-13,16.289727132995832,-61.27145939844861,Guadeloupe
52360,1373712,sam-2025-Q1,2025-03-28,16.35242606067136,-61.41676094685731,Guadeloupe
52360,1216142,sam-2024-Q3,2024-10-17,16.352456883445505,-61.41675838484717,Guadeloupe
52360,172862,sam-2023,2023-10-01,16.35259338886154,-61.41678547429871,Guadeloupe
52360,42879,gpv-model,2019-01-01,16.352649050386436,-61.41706357612412,Guadeloupe
55145,1414127,sam-2025-Q1,2025-03-28,16.36606504443946,-61.44789517981939,Guadeloupe
55145,11348,gpv-model,2019-01-01,16.36604697782464,-61.44781252324825,Guadeloupe
55145,172864,sam-2023,2023-10-01,16.366039321333297,-61.44772381784061,Guadeloupe
70726,172858,sam-2023,2023-10-01,16.304338391631152,-61.28157042581908,Guadeloupe
70726,11490,gpv-model,2019-01-01,16.304355123980724,-61.28164525590137,Guadeloupe
70726,808580,sam-2024-Q1,2024-03-06,16.304300632502436,-61.28161972192324,Guadeloupe
79976,172861,sam-2023,2023-10-01,16.346034149633283,-61.393561581724335,Guadeloupe
79976,28773,gpv-model,2019-01-01,16.346050102716553,-61.39360465685629,Guadeloupe
83018,11579,gpv-model,2019-01-01,16.425587369950744,-61.41235043799171,Guadeloupe
83018,28666,gpv-model,2019-01-01,16.423650290921834,-61.41035527752648,Guadeloupe
83018,805905,sam-2024-Q1,2024-03-06,16.42704748754491,-61.41267765805099,Guadeloupe
83018,805903,sam-2024-Q1,2024-03-06,16.423775772927627,-61.41049046192272,Guadeloupe
83018,805902,sam-2024-Q1,2024-03-06,16.42381226973922,-61.41196543775864,Guadeloupe
96600,1353230,sam-2025-Q1,2025-03-28,16.267745600959845,-61.273805250101525,Guadeloupe
96600,808577,sam-2024-Q1,2024-03-06,16.267797744051652,-61.27375452960465,Guadeloupe
