cluster_id,source_id,source,source_date,latitude,longitude,country
13268,52062,gpv-model,2019-01-01,-20.1461189260636,57.70123431154591,Mauritius
13401,972272,sam-2024-Q1,2024-03-06,-20.26153943982406,57.42444083164845,Mauritius
13401,375599,sam-2023,2023-10-01,-20.26113984672608,57.42516702737223,Mauritius
13401,1200487,sam-2024-Q2,2024-08-13,-20.262270645884925,57.433114389927056,Mauritius
13401,1443302,sam-2025-Q2,2025-06-26,-20.262202982913664,57.43313285240991,Mauritius
13401,1200488,sam-2024-Q2,2024-08-13,-20.26148355189791,57.42440539188301,Mauritius
13401,1289746,sam-2024-Q4,2025-01-13,-20.262210523988287,57.43294553906742,Mauritius
13401,375597,sam-2023,2023-10-01,-20.262176561668564,57.43302843536236,Mauritius
13401,1239427,sam-2024-Q3,2024-10-17,-20.26225266721124,57.433087703299854,Mauritius
13401,972271,sam-2024-Q1,2024-03-06,-20.26236206718445,57.433187181243184,Mauritius
13401,1250390,sam-2024-Q3,2024-10-17,-20.261501721026388,57.42440701305006,Mauritius
13401,1416566,sam-2025-Q1,2025-03-28,-20.262139309883267,57.4330171223205,Mauritius
13401,66719,gpv-model,2019-01-01,-20.26227131654638,57.432914399751226,Mauritius
13401,1289745,sam-2024-Q4,2025-01-13,-20.26159591536153,57.42446532081307,Mauritius
13401,22105,gpv-model,2019-01-01,-20.2614951343867,57.42429573221813,Mauritius
2911,1443303,sam-2025-Q2,2025-06-26,-20.109988332531497,57.53501787657024,Mauritius
2911,972278,sam-2024-Q1,2024-03-06,-20.10854116186133,57.53339182230428,Mauritius
2911,1232828,sam-2024-Q3,2024-10-17,-20.109941730291577,57.5350934697925,Mauritius
2911,1289748,sam-2024-Q4,2025-01-13,-20.109944294259577,57.53511865518792,Mauritius
2911,1355686,sam-2025-Q1,2025-03-28,-20.1100186428691,57.53494531485685,Mauritius
3281,375601,sam-2023,2023-10-01,-20.228227444018547,57.70332404900931,Mauritius
3281,1416568,sam-2025-Q1,2025-03-28,-20.231487258617435,57.70386727213497,Mauritius
3281,1443305,sam-2025-Q2,2025-06-26,-20.22937781210872,57.701828531253774,Mauritius
3281,1228986,sam-2024-Q3,2024-10-17,-20.22935820186605,57.70055604073531,Mauritius
3281,375600,sam-2023,2023-10-01,-20.23150216430594,57.70402975930668,Mauritius
3281,375602,sam-2023,2023-10-01,-20.22799601448708,57.699551685341945,Mauritius
3281,29883,gpv-model,2019-01-01,-20.22883110881664,57.70067915865,Mauritius
3281,1289753,sam-2024-Q4,2025-01-13,-20.22800071230202,57.699514226301325,Mauritius
3281,1228966,sam-2024-Q3,2024-10-17,-20.22710350903835,57.69882585149893,Mauritius
3281,1219009,sam-2024-Q3,2024-10-17,-20.22826688623536,57.70329567992935,Mauritius
3281,1416567,sam-2025-Q1,2025-03-28,-20.2268219129612,57.698585004682045,Mauritius
3281,29878,gpv-model,2019-01-01,-20.22705277051133,57.69847844956259,Mauritius
35040,375605,sam-2023,2023-10-01,-20.077751628970542,57.53764781074083,Mauritius
35040,1396385,sam-2025-Q1,2025-03-28,-20.074862109290443,57.5392199683187,Mauritius
35040,375604,sam-2023,2023-10-01,-20.078740969685967,57.5347731199326,Mauritius
35040,1219170,sam-2024-Q3,2024-10-17,-20.07859255553493,57.53469980459229,Mauritius
35040,972279,sam-2024-Q1,2024-03-06,-20.079150327886133,57.53434435199107,Mauritius
35040,1289749,sam-2024-Q4,2025-01-13,-20.0785208118562,57.53479856389769,Mauritius
35040,1200490,sam-2024-Q2,2024-08-13,-20.07438290843344,57.54035001309367,Mauritius
35040,1219404,sam-2024-Q3,2024-10-17,-20.074879883780312,57.53926409619415,Mauritius
35040,51958,gpv-model,2019-01-01,-20.07789559443557,57.53741799316354,Mauritius
35040,22101,gpv-model,2019-01-01,-20.07360566471377,57.53730921169809,Mauritius
35040,1443304,sam-2025-Q2,2025-06-26,-20.07492466854336,57.53921640611344,Mauritius
35040,22104,gpv-model,2019-01-01,-20.076095852856547,57.53762077028416,Mauritius
35040,22100,gpv-model,2019-01-01,-20.074510015347368,57.539605013648334,Mauritius
35040,1289750,sam-2024-Q4,2025-01-13,-20.075199462324097,57.53930509429662,Mauritius
36137,1200486,sam-2024-Q2,2024-08-13,-20.33345657855921,57.46356901652383,Mauritius
36137,1443301,sam-2025-Q2,2025-06-26,-20.33339069172733,57.46359406292301,Mauritius
36137,972269,sam-2024-Q1,2024-03-06,-20.33354454276733,57.46353601782273,Mauritius
36137,1289698,sam-2024-Q4,2025-01-13,-20.33350294118138,57.46350946142692,Mauritius
36137,1396384,sam-2025-Q1,2025-03-28,-20.333427449580345,57.46357651855491,Mauritius
36137,1268907,sam-2024-Q3,2024-10-17,-20.333416140980543,57.46359985721688,Mauritius
36137,375596,sam-2023,2023-10-01,-20.333422739998696,57.46362060480792,Mauritius
47103,1289751,sam-2024-Q4,2025-01-13,-20.08588398100064,57.58490052710847,Mauritius
47103,1215189,sam-2024-Q3,2024-10-17,-20.085795425671115,57.58470383878527,Mauritius
48822,1289804,sam-2024-Q4,2025-01-13,-20.14179163033432,57.6962908052429,Mauritius
48822,1396387,sam-2025-Q1,2025-03-28,-20.14174147658765,57.6962287353976,Mauritius
57656,375594,sam-2023,2023-10-01,-20.35872371912376,57.47106363035955,Mauritius
57656,1376147,sam-2025-Q1,2025-03-28,-20.35889294045517,57.47088741046024,Mauritius
57656,1250365,sam-2024-Q3,2024-10-17,-20.358865569126724,57.47090430795064,Mauritius
57656,1443300,sam-2025-Q2,2025-06-26,-20.35870320077827,57.47090187257592,Mauritius
57656,972266,sam-2024-Q1,2024-03-06,-20.358856177277843,57.470590899382,Mauritius
57656,375595,sam-2023,2023-10-01,-20.355153083315457,57.46820717693958,Mauritius
57656,972268,sam-2024-Q1,2024-03-06,-20.35534535378397,57.4681781162144,Mauritius
57656,1289797,sam-2024-Q4,2025-01-13,-20.358856832098027,57.4709182364086,Mauritius
57656,1228712,sam-2024-Q3,2024-10-17,-20.355226146236333,57.46874120161176,Mauritius
59826,1200489,sam-2024-Q2,2024-08-13,-20.18526125149544,57.45061573917774,Mauritius
59826,972275,sam-2024-Q1,2024-03-06,-20.18519638059044,57.45062053231593,Mauritius
59826,1266558,sam-2024-Q3,2024-10-17,-20.18525883304976,57.45060774680589,Mauritius
59826,1376148,sam-2025-Q1,2025-03-28,-20.185282498006494,57.45063417461272,Mauritius
59826,1289747,sam-2024-Q4,2025-01-13,-20.185306668084905,57.45064496061676,Mauritius
59826,375603,sam-2023,2023-10-01,-20.18530538205961,57.45056797406915,Mauritius
74430,29892,gpv-model,2019-01-01,-20.03495208449018,57.55719160813011,Mauritius
74430,1396386,sam-2025-Q1,2025-03-28,-20.034831311385023,57.55825499759688,Mauritius
74430,375606,sam-2023,2023-10-01,-20.034932730851835,57.55804270162235,Mauritius
74430,1200491,sam-2024-Q2,2024-08-13,-20.034952844373457,57.55808421125879,Mauritius
74430,1289752,sam-2024-Q4,2025-01-13,-20.034884943407445,57.558327670767305,Mauritius
77091,972273,sam-2024-Q1,2024-03-06,-20.261032454526664,57.7710720867521,Mauritius
77091,375598,sam-2023,2023-10-01,-20.26120137592269,57.77107587386261,Mauritius
77091,1289754,sam-2024-Q4,2025-01-13,-20.2612700568475,57.77097324193901,Mauritius
77091,1376149,sam-2025-Q1,2025-03-28,-20.26116332505,57.7709246868497,Mauritius
