cluster_id,source_id,source,source_date,latitude,longitude,country
100576,1352311,sam-2025-Q1,2025-03-28,20.489210683233832,-103.25924129485148,Mexico
1014,720497,sam-2024-Q1,2024-03-06,21.326898828452112,-100.61653077278577,Mexico
1014,1243734,sam-2024-Q3,2024-10-17,21.333446771863294,-100.6102809904163,Mexico
1014,720495,sam-2024-Q1,2024-03-06,21.324651237016923,-100.61561141122426,Mexico
1014,62481,sam-2023,2023-10-01,21.32907263294821,-100.61111323601916,Mexico
1014,720498,sam-2024-Q1,2024-03-06,21.326921578681336,-100.6094831520188,Mexico
1014,22128,gpv-model,2019-01-01,21.32958595648369,-100.60520566863268,Mexico
1014,1434750,sam-2025-Q2,2025-06-26,21.32965053645329,-100.6101775597597,Mexico
1014,22134,gpv-model,2019-01-01,21.328812614206058,-100.61188297042078,Mexico
1014,1393045,sam-2025-Q1,2025-03-28,21.329118696408816,-100.6106483490488,Mexico
1014,720502,sam-2024-Q1,2024-03-06,21.33529226981005,-100.61202160350864,Mexico
1014,22168,gpv-model,2019-01-01,21.333931506554578,-100.60911932027874,Mexico
1014,22202,gpv-model,2019-01-01,21.32616146292355,-100.60634483242346,Mexico
1014,720496,sam-2024-Q1,2024-03-06,21.326568936714835,-100.60598087838684,Mexico
1014,1275826,sam-2024-Q4,2025-01-13,21.32919267227747,-100.61105698530592,Mexico
101602,1237905,sam-2024-Q3,2024-10-17,20.45936657142751,-100.6657887132936,Mexico
101937,1434737,sam-2025-Q2,2025-06-26,19.490467216374327,-98.04693369897144,Mexico
102492,1352768,sam-2025-Q1,2025-03-28,28.85759302431798,-105.43622126645111,Mexico
103441,52103,gpv-model,2019-01-01,21.04006143589678,-102.55744810605258,Mexico
103441,716610,sam-2024-Q1,2024-03-06,21.039966351099736,-102.55744095971788,Mexico
100941,1275817,sam-2024-Q4,2025-01-13,20.71014490483304,-99.7801890345843,Mexico
103733,1393458,sam-2025-Q1,2025-03-28,29.112540123270488,-110.91469014234266,Mexico
104239,1436009,sam-2025-Q2,2025-06-26,25.75134626973964,-100.49922892030092,Mexico
104400,1435952,sam-2025-Q2,2025-06-26,31.649564180995927,-106.3464755066976,Mexico
104701,1435848,sam-2025-Q2,2025-06-26,22.77580249214019,-102.65310930778784,Mexico
