cluster_id,source_id,source,source_date,latitude,longitude,country
100112,864562,sam-2024-Q1,2024-03-06,52.84649841444968,4.752272840896405,Netherlands
100112,1307134,sam-2024-Q4,2025-01-13,52.8464058697273,4.752256822989231,Netherlands
100112,226587,sam-2023,2023-10-01,52.846529624426445,4.753206798089696,Netherlands
100112,1421059,sam-2025-Q1,2025-03-28,52.84651167161438,4.752259694291319,Netherlands
100062,232457,sam-2023,2023-10-01,52.12258761419002,6.5402270395904445,Netherlands
100062,1380903,sam-2025-Q1,2025-03-28,52.122232174612776,6.540438427865353,Netherlands
100062,869602,sam-2024-Q1,2024-03-06,52.12222445130197,6.540472082874013,Netherlands
100252,22514,gpv-model,2019-01-01,51.96452837961285,5.986924872589548,Netherlands
100252,230421,sam-2023,2023-10-01,51.96462345543173,5.9864106318921735,Netherlands
100368,1421189,sam-2025-Q1,2025-03-28,53.21981134590253,6.781348522437996,Netherlands
100622,868229,sam-2024-Q1,2024-03-06,52.604692929999054,6.06083424363882,Netherlands
101222,1307107,sam-2024-Q4,2025-01-13,52.11625410040714,4.308333025032355,Netherlands
101222,1401088,sam-2025-Q1,2025-03-28,52.11634212323627,4.308153596994228,Netherlands
100694,866377,sam-2024-Q1,2024-03-06,51.79915188857302,5.278449625652169,Netherlands
101246,867841,sam-2024-Q1,2024-03-06,51.38623023209395,6.08710154593911,Netherlands
101246,230138,sam-2023,2023-10-01,51.38631112000519,6.0872903855089655,Netherlands
101246,1380842,sam-2025-Q1,2025-03-28,51.38619601681926,6.0870530410007815,Netherlands
10107,869910,sam-2024-Q1,2024-03-06,53.25576322595236,6.943033855633979,Netherlands
10107,234789,sam-2023,2023-10-01,53.25575122882074,6.9438267995143645,Netherlands
10107,1218622,sam-2024-Q3,2024-10-17,53.255794573105455,6.944181225021513,Netherlands
10107,234790,sam-2023,2023-10-01,53.25755777700492,6.945951772206223,Netherlands
10107,1307555,sam-2024-Q4,2025-01-13,53.2565424167233,6.944911182132569,Netherlands
100997,869955,sam-2024-Q1,2024-03-06,53.44453054037365,6.792874825873198,Netherlands
10107,1380947,sam-2025-Q1,2025-03-28,53.256613788680376,6.944946369603521,Netherlands
10107,1219027,sam-2024-Q3,2024-10-17,53.25759064934999,6.945887562845675,Netherlands
101444,230242,sam-2023,2023-10-01,51.54609977982168,5.990872239502497,Netherlands
101622,1307062,sam-2024-Q4,2025-01-13,51.834874320907154,4.409241562366061,Netherlands
101622,1360486,sam-2025-Q1,2025-03-28,51.834722683295645,4.408825362756492,Netherlands
101622,864352,sam-2024-Q1,2024-03-06,51.83495412950028,4.409258859707406,Netherlands
102047,1380922,sam-2025-Q1,2025-03-28,52.85402716320603,5.732957706026199,Netherlands
101998,869946,sam-2024-Q1,2024-03-06,53.437936737965885,6.849437981836027,Netherlands
102062,226189,sam-2023,2023-10-01,51.4880015363346,4.732999673464399,Netherlands
102062,1380773,sam-2025-Q1,2025-03-28,51.48793786044676,4.73285228598659,Netherlands
102062,1455535,sam-2025-Q2,2025-06-26,51.48539277573568,4.72983683568673,Netherlands
102062,864216,sam-2024-Q1,2024-03-06,51.488181011179336,4.733076704491824,Netherlands
102062,1347348,sam-2024-Q4,2025-01-13,51.48787841854518,4.73289203130767,Netherlands
102478,1380826,sam-2025-Q1,2025-03-28,51.14251715389872,5.942166950589927,Netherlands
102242,865929,sam-2024-Q1,2024-03-06,51.05985751119832,5.834986891753528,Netherlands
102242,1401116,sam-2025-Q1,2025-03-28,51.05977371312311,5.835532670718749,Netherlands
102242,230033,sam-2023,2023-10-01,51.059807840735296,5.835507749796641,Netherlands
102250,1380909,sam-2025-Q1,2025-03-28,52.20417331766261,6.920250332480258,Netherlands
102520,22502,gpv-model,2019-01-01,51.20097965542518,5.8064879014016535,Netherlands
102520,230070,sam-2023,2023-10-01,51.20091580863591,5.806287797681584,Netherlands
102520,865962,sam-2024-Q1,2024-03-06,51.20098082582038,5.80651014121657,Netherlands
102878,22515,gpv-model,2019-01-01,51.62376802721211,5.515544921676223,Netherlands
102753,864360,sam-2024-Q1,2024-03-06,51.84870529960011,4.668927113451503,Netherlands
102753,226363,sam-2023,2023-10-01,51.84857289028472,4.669109321872627,Netherlands
103197,1380806,sam-2025-Q1,2025-03-28,52.039387597001294,5.12281134062532,Netherlands
10339,170024,sam-2023,2023-10-01,17.49693412163558,-62.97286907528286,Netherlands
10339,1353237,sam-2025-Q1,2025-03-28,17.49718992507455,-62.97294151998363,Netherlands
10339,805911,sam-2024-Q1,2024-03-06,17.497232582373595,-62.973046806153945,Netherlands
10339,1279964,sam-2024-Q4,2025-01-13,17.497301497481327,-62.97297012185115,Netherlands
10339,1271749,sam-2024-Q3,2024-10-17,17.497239525629904,-62.9729560746669,Netherlands
10339,22521,gpv-model,2019-01-01,17.49693255798827,-62.97305045554592,Netherlands
