cluster_id,source_id,source,source_date,latitude,longitude,country
105619,938289,sam-2024-Q1,2024-03-06,35.118744767375055,33.66429003053958,Northern Cyprus
105619,1242507,sam-2024-Q3,2024-10-17,35.11878936921366,33.664321621433885,Northern Cyprus
105619,1447494,sam-2025-Q2,2025-06-26,35.118827721594194,33.66435367713552,Northern Cyprus
110760,1296644,sam-2024-Q4,2025-01-13,35.23323215908669,33.02321683414024,Northern Cyprus
110760,935572,sam-2024-Q1,2024-03-06,35.23321853901975,33.023189067788536,Northern Cyprus
13145,938313,sam-2024-Q1,2024-03-06,35.242315683393635,33.16875624479024,Northern Cyprus
13145,1296648,sam-2024-Q4,2025-01-13,35.24231537945632,33.168919529421615,Northern Cyprus
13145,1269283,sam-2024-Q3,2024-10-17,35.24234024058177,33.16890796422964,Northern Cyprus
19397,1232568,sam-2024-Q3,2024-10-17,35.18420016731074,33.61727523990829,Northern Cyprus
19397,322610,sam-2023,2023-10-01,35.184132896473784,33.617687844539915,Northern Cyprus
19397,1447502,sam-2025-Q2,2025-06-26,35.18414869870719,33.61720752817803,Northern Cyprus
19397,938303,sam-2024-Q1,2024-03-06,35.18416148459849,33.617247637057666,Northern Cyprus
19397,1398039,sam-2025-Q1,2025-03-28,35.1841648075748,33.61720869197972,Northern Cyprus
19397,1296654,sam-2024-Q4,2025-01-13,35.184188247169594,33.617218165067584,Northern Cyprus
26126,322621,sam-2023,2023-10-01,35.258930646042714,33.618138253131775,Northern Cyprus
26126,1418119,sam-2025-Q1,2025-03-28,35.258911673134754,33.61830048870235,Northern Cyprus
27271,1267835,sam-2024-Q3,2024-10-17,35.25250904586929,33.01604811265029,Northern Cyprus
27271,935573,sam-2024-Q1,2024-03-06,35.2524550153344,33.01603575778564,Northern Cyprus
27271,1377775,sam-2025-Q1,2025-03-28,35.25246794615665,33.01599799230311,Northern Cyprus
27271,1296645,sam-2024-Q4,2025-01-13,35.25246268250001,33.01603216741593,Northern Cyprus
27271,1447497,sam-2025-Q2,2025-06-26,35.25242398632103,33.016242483833935,Northern Cyprus
27701,1357368,sam-2025-Q1,2025-03-28,35.190095130076706,33.600098332696426,Northern Cyprus
27701,1296655,sam-2024-Q4,2025-01-13,35.190120378894534,33.6001483939223,Northern Cyprus
27701,1261371,sam-2024-Q3,2024-10-17,35.190124842115,33.60010500071279,Northern Cyprus
27701,322612,sam-2023,2023-10-01,35.190071233637006,33.600066360472816,Northern Cyprus
27701,938304,sam-2024-Q1,2024-03-06,35.19011978385538,33.60013920016503,Northern Cyprus
46995,935565,sam-2024-Q1,2024-03-06,35.17975008753757,32.95150625406815,Northern Cyprus
