cluster_id,source_id,source,source_date,latitude,longitude,country
108953,1392628,sam-2025-Q1,2025-03-28,-16.70556958992125,-71.8007180437786,Peru
110293,1433486,sam-2025-Q2,2025-06-26,-5.087624858328006,-73.84938747177624,Peru
11434,792007,sam-2024-Q1,2024-03-06,-17.24777829456658,-71.18658684917283,Peru
11434,1372355,sam-2025-Q1,2025-03-28,-17.248051503618672,-71.18673019228721,Peru
11434,1230775,sam-2024-Q3,2024-10-17,-17.247727626799527,-71.18653240589725,Peru
11434,148901,sam-2023,2023-10-01,-17.247752588105676,-71.18655960847553,Peru
11434,22318,gpv-model,2019-01-01,-17.251294982349663,-71.18441861369315,Peru
13599,1372354,sam-2025-Q1,2025-03-28,-17.993648970006447,-70.33629296545904,Peru
13599,794050,sam-2024-Q1,2024-03-06,-17.993677118971547,-70.33638003091296,Peru
13599,1273551,sam-2024-Q4,2025-01-13,-17.993700265972677,-70.33626900480176,Peru
13599,1189056,sam-2024-Q2,2024-08-13,-17.99361467783598,-70.33650026596769,Peru
13599,1433468,sam-2025-Q2,2025-06-26,-17.993728589901306,-70.33633926010677,Peru
13599,22354,gpv-model,2019-01-01,-17.993567553764482,-70.33662787837015,Peru
13599,1242707,sam-2024-Q3,2024-10-17,-17.993628421465925,-70.3364866505198,Peru
13599,151302,sam-2023,2023-10-01,-17.993671002394823,-70.3363572003868,Peru
24368,22359,gpv-model,2019-01-01,-17.54729538939193,-71.03405738921195,Peru
24368,1188852,sam-2024-Q2,2024-08-13,-17.543530225805284,-71.03640812736542,Peru
24368,1235611,sam-2024-Q3,2024-10-17,-17.539684738992243,-71.02686131422257,Peru
24368,792004,sam-2024-Q1,2024-03-06,-17.54359843290124,-71.02849627870634,Peru
24368,22344,gpv-model,2019-01-01,-17.542990040941742,-71.0194136382651,Peru
24368,1188850,sam-2024-Q2,2024-08-13,-17.54707448485195,-71.03427568064663,Peru
24368,22345,gpv-model,2019-01-01,-17.539601408945558,-71.0268937037193,Peru
24368,22336,gpv-model,2019-01-01,-17.543387234542408,-71.03654584731196,Peru
24368,148900,sam-2023,2023-10-01,-17.543963158778745,-71.02903369243109,Peru
24368,1188853,sam-2024-Q2,2024-08-13,-17.542754540934638,-71.02957981699248,Peru
24368,1249901,sam-2024-Q3,2024-10-17,-17.543000163229873,-71.01935826206225,Peru
24368,1392626,sam-2025-Q1,2025-03-28,-17.54362427130237,-71.02875420081526,Peru
24368,1241959,sam-2024-Q3,2024-10-17,-17.545607130210193,-71.0351390610564,Peru
24368,1433469,sam-2025-Q2,2025-06-26,-17.543570625540053,-71.02868017505271,Peru
24368,22338,gpv-model,2019-01-01,-17.542680848253827,-71.02973253047826,Peru
24368,1188851,sam-2024-Q2,2024-08-13,-17.54291384847347,-71.01925076440008,Peru
