cluster_id,source_id,source,source_date,latitude,longitude,country
107425,1437235,sam-2025-Q2,2025-06-26,18.13092840761837,-67.11045733625724,Puerto Rico
108578,1353235,sam-2025-Q1,2025-03-28,18.373859538456102,-65.88273204658338,Puerto Rico
14121,1414133,sam-2025-Q1,2025-03-28,18.46595407673327,-66.26726176979594,Puerto Rico
17620,1414134,sam-2025-Q1,2025-03-28,18.380461154468,-65.94429912680359,Puerto Rico
17620,799382,sam-2024-Q1,2024-03-06,18.38052942342512,-65.94423436311475,Puerto Rico
22925,1373720,sam-2025-Q1,2025-03-28,18.45121544797576,-66.35218327853185,Puerto Rico
22925,1393933,sam-2025-Q1,2025-03-28,18.448831848296063,-66.34950892282419,Puerto Rico
22925,1437247,sam-2025-Q2,2025-06-26,18.44888439540828,-66.34900065417426,Puerto Rico
22925,1437246,sam-2025-Q2,2025-06-26,18.45099212732526,-66.35215302495376,Puerto Rico
22925,799391,sam-2024-Q1,2024-03-06,18.45131896329423,-66.35225158140923,Puerto Rico
22925,62874,gpv-model,2019-01-01,18.4487584004829,-66.35067500326875,Puerto Rico
22925,22316,gpv-model,2019-01-01,18.4512750624835,-66.35222812403863,Puerto Rico
22925,799390,sam-2024-Q1,2024-03-06,18.44894470961478,-66.34901923377203,Puerto Rico
22925,22327,gpv-model,2019-01-01,18.44900832113859,-66.34895516426899,Puerto Rico
22925,1280021,sam-2024-Q4,2025-01-13,18.451289607935635,-66.35218348883596,Puerto Rico
22925,162053,sam-2023,2023-10-01,18.448811716269525,-66.34905090570552,Puerto Rico
22925,1189392,sam-2024-Q2,2024-08-13,18.45114746136669,-66.35212517532734,Puerto Rico
22925,162052,sam-2023,2023-10-01,18.448771520976173,-66.35056293483264,Puerto Rico
30021,22374,gpv-model,2019-01-01,18.13475154075441,-65.81719985337031,Puerto Rico
30021,1189395,sam-2024-Q2,2024-08-13,18.134624946900622,-65.81721400937981,Puerto Rico
30021,1240487,sam-2024-Q3,2024-10-17,18.134580470466485,-65.8172216074577,Puerto Rico
30021,162043,sam-2023,2023-10-01,18.13488855631154,-65.81717619178077,Puerto Rico
30021,1393930,sam-2025-Q1,2025-03-28,18.134795599513343,-65.8172785099586,Puerto Rico
30021,1437242,sam-2025-Q2,2025-06-26,18.13353337524648,-65.81795611139599,Puerto Rico
30021,799375,sam-2024-Q1,2024-03-06,18.13643131096888,-65.82322281394974,Puerto Rico
30021,1279975,sam-2024-Q4,2025-01-13,18.13474051859508,-65.81723699231495,Puerto Rico
30021,799374,sam-2024-Q1,2024-03-06,18.13460796218221,-65.81710843526082,Puerto Rico
30383,1437249,sam-2025-Q2,2025-06-26,18.412532769532696,-65.90356936859641,Puerto Rico
30383,162050,sam-2023,2023-10-01,18.41269592940983,-65.90352447165681,Puerto Rico
30383,1393935,sam-2025-Q1,2025-03-28,18.41257630048953,-65.90355851335158,Puerto Rico
30383,799386,sam-2024-Q1,2024-03-06,18.41548272574302,-65.90128866757827,Puerto Rico
30383,1280024,sam-2024-Q4,2025-01-13,18.412658940425576,-65.90345227192729,Puerto Rico
30383,799384,sam-2024-Q1,2024-03-06,18.409981672415675,-65.90559382301196,Puerto Rico
30383,53853,gpv-model,2019-01-01,18.413988734361304,-65.9024529035737,Puerto Rico
30383,1189398,sam-2024-Q2,2024-08-13,18.41268488925041,-65.90345124501637,Puerto Rico
30383,66824,gpv-model,2019-01-01,18.40783727201609,-65.90729315194147,Puerto Rico
30383,1244411,sam-2024-Q3,2024-10-17,18.4149587344546,-65.90161931440925,Puerto Rico
39047,1393934,sam-2025-Q1,2025-03-28,18.415588826464848,-66.12850926729942,Puerto Rico
39047,1245354,sam-2024-Q3,2024-10-17,18.4155004765454,-66.12857874632094,Puerto Rico
39047,799387,sam-2024-Q1,2024-03-06,18.41550694142414,-66.12858413542719,Puerto Rico
39047,162051,sam-2023,2023-10-01,18.41544758077427,-66.12864952338951,Puerto Rico
39047,1345181,sam-2024-Q4,2025-01-13,18.41562183028481,-66.12868539986975,Puerto Rico
39047,1189391,sam-2024-Q2,2024-08-13,18.4154766164481,-66.12858201485787,Puerto Rico
4775,799393,sam-2024-Q1,2024-03-06,18.45419227954616,-66.09394900087692,Puerto Rico
4775,1272551,sam-2024-Q3,2024-10-17,18.454225058364813,-66.09391451354327,Puerto Rico
4775,1280022,sam-2024-Q4,2025-01-13,18.45421713539405,-66.09391023981263,Puerto Rico
4775,1437248,sam-2025-Q2,2025-06-26,18.454191815001508,-66.0938992840827,Puerto Rico
4775,1272674,sam-2024-Q3,2024-10-17,18.45199428086666,-66.09111983968226,Puerto Rico
4775,799392,sam-2024-Q1,2024-03-06,18.45191637401658,-66.09110691531976,Puerto Rico
4775,162055,sam-2023,2023-10-01,18.45416280455014,-66.09383535300425,Puerto Rico
4775,22348,gpv-model,2019-01-01,18.45417671195891,-66.09395315612795,Puerto Rico
