cluster_id,source_id,source,source_date,latitude,longitude,country
10546,61337,gpv-model,2019-01-01,25.46661830645177,51.37282832112196,Qatar
22297,363287,sam-2023,2023-10-01,25.40845964627206,51.46720364239901,Qatar
22297,1229166,sam-2024-Q3,2024-10-17,25.40891560910885,51.4683771144173,Qatar
22297,966123,sam-2024-Q1,2024-03-06,25.407958220491462,51.46635039236315,Qatar
22297,966125,sam-2024-Q1,2024-03-06,25.40892671678292,51.46768988475327,Qatar
22297,966124,sam-2024-Q1,2024-03-06,25.40885529496884,51.469101137684895,Qatar
22297,1359183,sam-2025-Q1,2025-03-28,25.40840945800592,51.466950316070246,Qatar
32408,363270,sam-2023,2023-10-01,25.23868454778717,51.01437894389037,Qatar
32408,1399724,sam-2025-Q1,2025-03-28,25.23876094528957,51.014859269834055,Qatar
32408,1200445,sam-2024-Q2,2024-08-13,25.238721112240352,51.01731702854982,Qatar
32408,1452521,sam-2025-Q2,2025-06-26,25.238738368874937,51.01486644865764,Qatar
32408,1484685,sam-2025-Q3,2025-09-29,25.24040211049993,51.01860638809263,Qatar
32408,1302606,sam-2024-Q4,2025-01-13,25.2387313332125,51.014864790027495,Qatar
32408,363274,sam-2023,2023-10-01,25.240417893325507,51.026296084795,Qatar
32408,966111,sam-2024-Q1,2024-03-06,25.238853622884367,51.01478688349334,Qatar
5120,1379464,sam-2025-Q1,2025-03-28,25.013331659858,51.52791707550288,Qatar
5120,966103,sam-2024-Q1,2024-03-06,25.02068476679148,51.52814101146775,Qatar
5120,1452522,sam-2025-Q2,2025-06-26,25.01339951492304,51.528007688167015,Qatar
5120,966101,sam-2024-Q1,2024-03-06,25.00334918197049,51.53253731742336,Qatar
70888,966147,sam-2024-Q1,2024-03-06,25.89644610081626,51.43768304957669,Qatar
70888,1419807,sam-2025-Q1,2025-03-28,25.89802474703378,51.44269696717487,Qatar
70888,363323,sam-2023,2023-10-01,25.90654391714777,51.4362054390168,Qatar
70888,1452556,sam-2025-Q2,2025-06-26,25.897954045740253,51.44262929990084,Qatar
70888,363324,sam-2023,2023-10-01,25.90666134148612,51.44326791286391,Qatar
76964,1302580,sam-2024-Q4,2025-01-13,25.63633946495135,51.416171778602525,Qatar
76964,1419806,sam-2025-Q1,2025-03-28,25.63632187022969,51.41614359613119,Qatar
89761,59605,gpv-model,2019-01-01,25.318315374033705,51.439027057149495,Qatar
98826,1359168,sam-2025-Q1,2025-03-28,25.17162287827589,51.35781368063551,Qatar
98826,1302609,sam-2024-Q4,2025-01-13,25.171657011671574,51.35802127100461,Qatar
99600,363300,sam-2023,2023-10-01,25.56177860443058,51.3169827933524,Qatar
99600,61327,gpv-model,2019-01-01,25.56365975997121,51.31653641831825,Qatar
