cluster_id,source_id,source,source_date,latitude,longitude,country
100170,1423807,sam-2025-Q1,2025-03-28,15.210449419046371,100.38722592777754,Thailand
100292,1314847,sam-2024-Q4,2025-01-13,13.449618334342947,101.06109773776818,Thailand
100429,1314765,sam-2024-Q4,2025-01-13,13.502051579578794,100.13381198366945,Thailand
100429,1460095,sam-2025-Q2,2025-06-26,13.502457581803728,100.13384766922452,Thailand
100455,1363179,sam-2025-Q1,2025-03-28,12.99591054526007,101.17524894125532,Thailand
100349,1383721,sam-2025-Q1,2025-03-28,14.895110612205404,104.42260063715872,Thailand
100349,1348650,sam-2024-Q4,2025-01-13,14.89525783933208,104.42247553050112,Thailand
10123,1315108,sam-2024-Q4,2025-01-13,14.01993968381472,101.86079064476333,Thailand
10123,457159,sam-2023,2023-10-01,14.020082770380585,101.86079335684995,Thailand
10123,1024547,sam-2024-Q1,2024-03-06,14.020066389145766,101.86076639269248,Thailand
10123,1363292,sam-2025-Q1,2025-03-28,14.020008418525876,101.86077550339556,Thailand
10123,1460332,sam-2025-Q2,2025-06-26,14.020362883849208,101.86097370794302,Thailand
10123,1203028,sam-2024-Q2,2024-08-13,14.020027621475473,101.8608398019153,Thailand
101299,1314749,sam-2024-Q4,2025-01-13,14.045799784168963,100.43344572205298,Thailand
101299,1403831,sam-2025-Q1,2025-03-28,14.045878462021058,100.4333505293015,Thailand
101056,1403818,sam-2025-Q1,2025-03-28,12.728197406240914,101.15932620782938,Thailand
100984,1460123,sam-2025-Q2,2025-06-26,14.011100585528158,100.56156501032108,Thailand
101483,1383629,sam-2025-Q1,2025-03-28,12.74388125487019,101.59238678970884,Thailand
101432,1460218,sam-2025-Q2,2025-06-26,14.96370525422405,100.98527102054062,Thailand
101440,1460112,sam-2025-Q2,2025-06-26,13.747731913470568,100.30590572859126,Thailand
101773,41736,gpv-model,2019-01-01,13.648784725055302,100.68047887132651,Thailand
101773,1020461,sam-2024-Q1,2024-03-06,13.648683024660958,100.68061155661418,Thailand
101808,1237840,sam-2024-Q3,2024-10-17,7.105981949952951,100.32959220831016,Thailand
101916,1383703,sam-2025-Q1,2025-03-28,15.089370767609717,102.1149797440798,Thailand
101916,1315371,sam-2024-Q4,2025-01-13,15.089461819817984,102.11488680351594,Thailand
102269,1314690,sam-2024-Q4,2025-01-13,13.653966565154011,99.8431724684809,Thailand
10208,459417,sam-2023,2023-10-01,13.649236457458615,102.31103509911009,Thailand
10208,1315150,sam-2024-Q4,2025-01-13,13.64924528193961,102.3111009229014,Thailand
10208,1423849,sam-2025-Q1,2025-03-28,13.64923473024238,102.31109951219172,Thailand
10208,22641,gpv-model,2019-01-01,13.649216799769222,102.31119061010811,Thailand
10208,1026188,sam-2024-Q1,2024-03-06,13.64926731114982,102.311082052921,Thailand
10208,1203092,sam-2024-Q2,2024-08-13,13.649290677628008,102.31119856839037,Thailand
102343,1231910,sam-2024-Q3,2024-10-17,13.56660715378388,100.68110420378112,Thailand
102473,1460334,sam-2025-Q2,2025-06-26,13.429475701212086,102.20295951441165,Thailand
100713,1383702,sam-2025-Q1,2025-03-28,14.983849449015093,102.0738985506552,Thailand
100713,1460442,sam-2025-Q2,2025-06-26,14.984246880978866,102.07395465782572,Thailand
102579,1403919,sam-2025-Q1,2025-03-28,13.945100212847944,101.87046208854092,Thailand
102579,1315103,sam-2024-Q4,2025-01-13,13.945053719379334,101.87049400716916,Thailand
102688,1460441,sam-2025-Q2,2025-06-26,14.94203806663696,102.0074676195295,Thailand
